TRAIT	GENESET
Acidaminococcus	TMEM170B:3.1364,IQCJ-SCHIP1:3.441,FPGT-TNNI3K:4.2464,RFLNA:3.5553,CYP3A7-CYP3A51P:3.2204,UST:3.9757,ADAM10:3.8724,TRIB1:3.2962,EFS:3.3893,SIRPB1:3.4316,ABCA8:3.3938,CACNG3:3.4655,CPQ:3.1086,LRRN2:3.676,BAIAP2:3.1633,FBLN5:3.3505,LRRC53:3.2204,SORBS1:4.798,CELF2:4.1936,DLL3:3.1523,NRG3:3.9349,ZMYND11:3.216,RPP40:3.1906,ALDH1L1:3.4538,PTPRT:3.2138,AKAP13:4.2534,GALNT5:3.1559,ERI2:3.5678,KLF12:5.4232,FDX2:3.2204,CHRM3:3.2795,MGLL:3.1149,SDSL:3.2073,LRRC37B:3.2342,CHUK:3.527,FMNL2:3.1054,TMEM132B:4.1061,TMEM200A:3.7373,ZBED9:3.4715,OSBPL10:3.9753,PHACTR3:4.8493,ACSM1:3.5678,C8orf34:3.6348,CFAP70:3.1382,FAT3:3.2073,BTBD11:3.7373,GPHB5:3.2026,TC2N:4.3584,SLC24A4:3.9132,C16orf78:3.963,MRPL55:3.1057,TSHZ2:5.6873,CNTNAP5:4.5708,COL16A1:3.5373,ADH7:3.2925,TRIM71:3.6053,PACRG:3.863,COL26A1:3.3449,NACC2:3.1214,MACROD2:3.4665,VTI1A:3.2295,CSE1L:3.2229,SYT9:3.7599,CSF2RB:3.0993,SLC2A14:3.7832,ZNF664:3.5553,PHETA1:3.2389,UNC45B:3.8028,APCDD1:3.5583,ZNF534:3.3187,ZNF578:3.5044,GLIS1:3.2073,HORMAD2:3.6635,PLB1:3.2564,METTL21A:3.1965,C2CD6:4.3058,MB21D2:3.1353,CNTN4:3.1181,NKAIN2:3.1692,VPS37D:3.3201,GRK3:3.1214,VPS13B:3.1054,DENND5B:4.8251,DGKG:3.4917,SYNE3:3.8906,OTUD7A:3.1523,PRICKLE2:3.3975,BMPER:3.1247,GLIS3:3.8452,ADAMTS16:3.1014,ADAMTS17:3.5985,ADAMTS18:3.0978,ANKRD24:3.2636,DLG2:4.8412,DPYSL2:4.0831,ECE1:3.5147,MEGF6:3.4652,AMN1:3.4601,PLD5:3.1054,FLCN:3.1364,PLD6:3.3139,ARHGAP27:3.1517,STOM:3.6153,CERS3:3.4808,STX2:3.1214,FAT1:3.6766,UCMA:3.2037,CPNE2:3.3201,FCGR2B:5.4352,ZSCAN25:3.2204,FKTN:3.128,FBXL13:3.3609,NAPEPLD:3.317,FHIT:3.4227,IKZF2:5.0438,DIP2C:3.9967,MYO16:3.1214,EMC1:3.1596,MRPS27:3.3843,KANK1:3.1633,FAM120A:3.8128,GSE1:5.1678,EXOC6B:3.1523,ATP11A:4.2317,KAZN:5.4983,CAMTA1:3.1842,MCF2L:4.1473,ADGRL2:3.3327,SASH1:3.9085,CLASP1:3.5437,WDR7:3.203,DOCK9:3.4916,MED13L:6.0647,ZFPM2:3.2636,TARDBP:3.4147,SLC44A1:3.1825,TRAM1:4.4305,MACF1:4.1306,RBFOX2:3.2282,RASD2:3.4068,CARHSP1:3.1348,CEMIP2:3.0962,CADM1:3.1382,DEFB125:3.2985,ALPL:3.6059,RICTOR:3.9385,EBF3:3.1633,WDR27:3.5496,ETFBKMT:3.4503,FBXO33:5.2601,NAALADL2:3.0993,TMEM196:3.8955,GABRB3:3.1747,ST6GALNAC3:3.3354,SERINC5:3.1747,:3.4248,GPX6:3.4248,NIPBL:4.116,CHRDL2:3.4218,SGMS1:3.469,TENM4:4.133,L3MBTL1:3.2741,DNM3:3.2317,AUTS2:3.2485,FBXO25:3.1382,PCOLCE2:3.2535,ARFIP1:3.4791,RBMS3:3.5135,UTP20:3.0962,GNAL:3.4701,CMKLR2:3.1452,JAKMIP3:3.3587,ADGRD1:3.3598,KSR2:3.367,LGALS9B:3.216,BTBD8:3.7093,DCBLD1:3.8471,NSMCE2:4.6677,GPR39:3.151,ANK2:3.1906,ANK3:3.1348,:3.7216,GPX5:3.7216,GRB2:3.1453,ABR:4.6785,C16orf72:3.3896,GRIN2B:3.1785,ARHGAP35:3.5678,CTNNA3:3.6774,GSK3B:4.1531,GSN:3.3743,YPEL1:3.3721,GUCY1B1:3.6949,UBN1:3.3201,SCHIP1:3.441,IQCJ-SCHIP1:3.441,GUCY2D:3.5149,HCRTR1:3.3369,EIF4E3:3.2501,HNRNPC:3.4007,APOF:3.302,TTC6:3.5149,HOXB3:3.1023,APBB2:3.2075,HSPG2:3.8204,HTR7:3.1214,LUZP2:3.1597,IDE:3.1633,:3.1821,OR2A1:3.1821,IGHMBP2:3.7682,IL6R:3.2342,INSR:4.4616,USP50:3.2741,TEX9:3.1487,KCNN3:3.1416,KCNQ3:3.1487,KIF11:3.1633,KCTD8:3.203,VSTM5:3.2018,ZNF808:4.1757,C4orf50:4.3199,GTF2IRD2B:3.5833,CFAP77:3.1054,AGMO:3.2249,LIMS1:3.1452,C12orf76:3.1773,FIGNL2:3.6153,LPP:3.8757,PLPP6:3.1339,GTF2H5:3.5663,LTBP1:3.503,TM4SF1:3.4057,ARSB:3.1596,MAP1B:3.3494,MC2R:3.503,MMP16:3.3818,MTHFD2L:3.4366,TRGC1:3.6117,MYH2:3.216,MYH10:5.0598,MYO1D:3.3597,MYO10:3.1894,NDUFA10:4.6821,ACO1:3.1117,NMBR:3.3828,RNF165:3.4392,OCA2:3.1382,SCAPER:3.9832,PCSK6:3.6127,CHST11:3.9249,CNTN3:3.2687,ASAP1:3.1054,CDON:3.754,MLXIPL:3.6727,TNNI3K:3.2204,PCNT:3.282,SLC22A17:3.1149,PHF21A:3.3891,PRR16:3.2592,THEM6:3.5093,PDE3A:3.1487,AIG1:3.2249,EVL:3.2485,PDE8A:3.1946,VTA1:3.6946,NBAS:3.4316,KLF13:3.1747,SYT17:3.1523,CALML5:3.1023,GALNT7:3.0932,ADA2:3.5708,PHF2:4.1997,LRP1B:3.8381,TPCN1:3.6728,PLOD1:3.2882,PMM2:3.1348,C21orf58:3.1523,FAM3B:4.3276,HAO1:3.5827,GFOD1:3.2553,EXOC6:3.5827,DDIT4:3.2204,KIF1A:3.2155,RBFOX1:4.6076,MPHOSPH8:3.273,PLPPR1:3.2888,CDKAL1:4.778,PPL:3.5076,SPATA6L:3.1339,OXR1:3.9641,KIF26B:4.656,WDR70:3.6289,RNF220:3.1348,FANCI:3.3743,DNAI7:3.1149,PPP2R5E:3.8319,CCDC91:3.3672,PPP3CA:3.2006,PEF1:3.68,MAML3:3.1786,CDCA7L:4.1157,DNAH3:4.343,VPS50:3.3518,SLC30A6:3.6293,LUC7L:3.2767,ZNF701:3.7599,CSGALNACT1:3.1523,CAND1:3.3975,PPP2R2D:3.1348,PRKCQ:3.1865,LMO3:3.1926,KLHL7:3.4601,STK31:3.492,GPCPD1:3.3259,FMN2:3.8507,SPIRE1:3.4398,BBX:3.2204,CIAPIN1:3.8811,PSMC4:3.5687,PDSS2:3.9438,CAMK1D:3.5985,ACTR3B:4.7104,ATP10D:3.0962,RHOJ:3.2454,SCAF4:3.2548,RPTOR:3.1747,TBC1D14:3.2249,KIAA1328:3.8821,SORCS2:4.1313,ARRDC3:3.3599,SPTBN4:3.1523,PTPRD:5.7663,PTPRE:3.0962,PTPRG:4.473,PTPRN2:3.1247,RAG1:3.2116,RAP1GDS1:3.1523,HIVEP3:3.1054,NTN4:3.2073,RFX3:3.3079,RGS10:3.4141,BACH2:3.1117,EEFSEC:3.1747,ROBO2:3.3905,RORB:3.1786,RYR3:3.2688,ACSM3:3.5678,BFSP1:3.371,ATXN2:3.8961,SCN1A:3.4276,SCN2A:3.3432,SCN8A:3.1348,SCN9A:3.2932,SDC2:4.374,PKNOX2:3.4313,PRDM16:4.2198,TINAGL1:3.8378,LIN7B:3.3079,ARHGEF28:4.0808,CSMD1:3.1181,SH3GL3:3.5057,SMYD3:3.1747,CREB3L2:3.205,DDX31:3.1452,ST3GAL1:3.9505,FBXL17:3.4282,ST3GAL4:3.2389,BMP1:3.1314,RANBP17:3.2905,SLC1A1:4.4166,TMEM237:3.5817,SLC1A3:3.5272,SLC2A3:3.7878,CPLANE1:3.5827,SLC8A1:3.167,SLC16A1:3.2636,TMEM108:3.1086,SNRNP70:3.4545,SOD1:3.1786,SOX5:3.572,SRD5A2:3.1906,STAT2:3.2461,STIM1:3.503,TCF7L2:3.3853,TIAL1:3.5985,TIAM1:3.1906,TJP1:3.5264,NALF1:3.3863,:3.265,WNT2B:3.1561,XRCC4:3.2705,XRCC5:3.1708,ZNF165:3.3598,CACNA1A:3.1434,ZKSCAN8:3.3598,ZMYM2:3.2204,USP7:3.203,TRPM8:4.7811,C1orf35:3.2078,AKIRIN1:3.1596,VTCN1:3.3263,GTDC1:3.9161,ZFHX4:3.2688,PTCD2:3.3494,EHMT1:3.9886,CATSPERB:3.8633,PEAK1:4.2025,ZNF613:3.3931,CPED1:3.775,ATF7IP2:3.503,CCDC15:3.1633,MAP3K19:3.1596,CCDC33:3.2087,CHD9:4.6425,CUBN:3.4077,SLC25A16:3.1523,ADAM12:3.5272,ACAD10:3.2437,SRCIN1:3.2295,DUSP16:3.4141,ILKAP:3.7153,ACTN4:3.6727,RCC1L:3.1188,CLPB:3.1348,CAMK2B:3.7339,REXO5:4.3552,CRISPLD1:3.2962,TRAPPC9:3.4588,ARMC10:3.3538,STARD3NL:3.3327,IMMP2L:4.208,FAM234A:3.0932,TMEM117:4.3628,NBPF3:3.5678,CARD11:3.8008,ZNF528:3.3896,ST6GAL2:3.4821,AGBL4:3.0962,PLXDC2:4.2714,IGSF21:4.0821,SYDE1:3.5783,BCAS1:3.1487,PPFIA3:3.355,:3.2073,PDE8B:3.2073,TP63:3.5601,EIF4G3:3.9559,DNAH11:4.3957,ADAM21:3.2741,SUCLG2:3.2464,ANKRD13A:3.2192,KAT2B:3.1348,FCGBP:3.1452,CCND3:3.5149,BMERB1:3.3743,UBE3D:3.912,TSPAN18:4.3278,BRSK2:3.2832,ZNF616:4.486,ZNF766:3.285,GPRC5A:4.2015,SYT7:3.3975,USP8:3.2741,CD1C:4.0134,L3MBTL4:3.8847,CD1D:3.1562,CD1E:3.2585,RSAD2:3.167,EXO1:3.1865,OSMR:3.3073,LRRFIP1:4.0617,:4.6078,DLGAP2:4.6078,RPS6KA5:4.7807,TIMM50:3.0993,CYTH2:3.1459,B4GALT5:3.7467,OTOF:3.1559,PAXBP1:3.3201,ARHGAP12:4.8185,NTN1:3.1825,TNFRSF8:3.2116,FHL5:3.317,SCARB1:3.3603,NPEPPS:3.6357,ABCG1:3.3426,NUP155:3.5272,PPM1F:3.4227,MARF1:3.3743,VGLL4:4.0929,RAB11FIP3:3.4601,PTDSS1:3.2437,CTIF:3.4466,GIT2:3.1988,LRBA:3.3598,RBM19:4.5515,MFN2:3.2569,GOLGA5:3.167
Akkermansia	NR2E3:3.1624,PDCD6IP:3.1383,CDH6:3.2417,SLC17A4:3.0959,IQCJ-SCHIP1:3.7683,ARL17B:3.2449,MICA:3.3468,MSANTD3-TMEFF1:3.2093,FPGT-TNNI3K:3.2502,RBAK-RBAKDN:3.2001,ATP9A:3.1973,LINC02688:3.2555,CDK8:3.4329,LAMC3:3.2918,CEPT1:3.5595,CPQ:3.4552,CFDP1:3.1847,DEAF1:3.1097,SLC34A2:3.4132,SCGN:3.2814,PRELID3A:3.3277,AVIL:3.6214,NRG3:4.0784,CPLX1:3.4649,FAXDC2:3.2844,USP20:3.4211,PPARGC1A:3.2314,OS9:3.3955,LILRB4:3.4848,CEP43:3.3431,PTPRT:3.7932,KIF3A:3.2377,CHIT1:3.1372,B4GALT7:3.3006,PHF21B:3.2527,MFSD3:3.6571,PKD1L2:3.1023,BTBD9:3.4627,MARCHF3:3.4158,GRIN3A:3.2258,APOA5:3.1682,AGAP2:3.3045,AGAP1:4.5226,PARD3B:3.7994,LRRK2:3.8265,TMEM132D:4.1532,AEBP2:3.553,C16orf46:4.5474,CNGB1:3.3299,SLX4IP:4.439,DUSP15:3.8176,BPIFA3:3.283,AP1S3:3.1817,SLC31A1:3.7787,SYNPR:3.677,UBE2QL1:3.1786,TMEM270:3.1127,SGCZ:3.4202,ASB7:3.1686,BPIFA2:3.4758,MACROD2:4.507,CRYBB2:3.9934,DNAAF8:3.6256,NKX2-5:3.6412,FAM71A:3.1615,DUSP18:3.7537,CTPS1:3.3394,CNTN4:4.8636,ZMAT2:3.201,TTC23L:3.5274,CYP2A6:3.1989,CYP2B6:3.2637,PEBP4:3.5096,SAXO1:3.3766,FREM1:3.6397,USP54:3.2412,SLC35G1:3.2747,DGKQ:3.176,TTLL9:4.5373,SPATA5:3.1678,GIMAP7:3.1049,TMEM64:3.1164,S100Z:4.0486,DIO2:3.5326,DLG2:4.663,AGA:3.1396,SLC26A3:3.2588,DRD5:3.5866,DTNB:3.7415,EGF:3.4387,MEGF9:3.2861,ELF1:3.6166,SLFNL1:3.581,CFAP221:3.3061,DNAH12:5.2419,PDE12:3.1462,DENND6A:3.1927,EPRS1:3.3946,EYA1:3.5462,EYA2:3.1001,MTIF3:3.6485,FCGRT:3.2124,FGF12:3.2033,FGF14:3.4386,FGL1:3.1174,FHIT:3.2692,LAMB4:3.5506,LMTK2:4.0347,NLGN1:3.1091,SHANK2:4.0434,SCMH1:4.6368,SV2C:4.1299,RIMS1:3.2409,PDZD2:3.3685,MON2:3.1689,FNBP1:3.3674,VWA8:3.0968,MAST2:3.152,LPIN1:3.4881,KANK1:3.1262,FBXL7:3.3732,ATP11B:3.4542,RHOBTB2:3.1578,NUP210:3.3876,ASTN2:4.686,MTCL1:3.4631,ADGRL2:3.2653,AGTPBP1:3.8693,WSCD1:4.1488,SASH1:3.0961,CLASP1:3.2151,FN1:3.2158,PSD3:3.2979,SIK3:3.2452,CRB1:3.335,ITGB3BP:3.7633,GRIP1:3.1046,HARS2:3.2137,MACF1:3.9646,CABIN1:3.6688,SRRM2:3.1692,SEZ6L:3.3755,CLDN14:3.696,SLC7A11:3.2494,CERS6:4.5117,PLCXD2:3.9303,GAK:4.6935,HECTD1:3.3051,MGAT4C:3.1023,EEF1AKMT3:3.5743,GEMIN5:3.1438,C2CD3:3.1917,TENM4:3.4053,UPF2:4.469,PPP1R16B:3.2705,AUTS2:3.1864,RAI14:3.8942,GATA4:4.6763,LHX6:3.6236,MYOF:3.3596,GFRA1:3.5063,NBEA:3.1363,TJP3:3.3832,CNTN6:3.1097,R3HCC1L:3.1092,GLUD1:3.5906,ADGRD1:3.1623,KSR2:3.2392,KANSL1:3.6271,GPRIN3:3.3554,DTWD2:3.2645,XKR6:4.4992,NKAIN3:3.0918,ANK2:3.2681,GRID1:3.1739,AAMDC:3.2024,IFT81:3.1905,ZBTB44:4.879,CTNNA3:3.3118,GRM5:3.2362,GTF3A:3.1058,UBN1:3.1309,SCHIP1:3.7683,IQCJ-SCHIP1:3.7683,HAS2:3.1243,NRG1:4.1781,AOAH:4.0955,HSP90AA1:3.5496,HTR2A:3.4033,APOA4:3.2091,APOC3:3.2275,APP:3.3263,IL12RB1:3.5218,ITGB3:3.1007,LHFPL3:3.1509,LRRC10:3.3652,KCNMA1:3.84,ARF4:3.1416,KLRD1:3.1452,TEX36:3.0945,GLYATL3:3.1801,XKR9:4.1781,OR52N4:3.221,LASP1:3.6909,DTHD1:3.8803,OR14I1:3.3574,CFAP99:3.3423,IRAG2:3.459,C16orf74:3.2123,TAFA1:3.4964,ART3:3.4016,METTL1:3.382,MGMT:3.1954,CIITA:3.7532,MITF:3.6103,MMP16:3.3271,MOV10:3.6737,MRC1:3.36,UNC13C:3.1152,TSPAN11:3.8705,MTTP:3.617,SERPINC1:3.1655,MYO1D:3.3958,NARS1:3.3345,NCAM1:3.3005,NCL:3.5408,ATIC:3.6408,NDUFB10:3.0972,NEDD9:4.336,LRRC37A2:3.7697,NFIB:3.5655,CNOT2:3.172,NRCAM:3.5819,ATP2B2:3.322,OPCML:3.7684,PNPLA8:3.2737,ARHGEF3:4.0522,PRKN:3.5022,PAX5:3.9993,PAX7:3.1451,NTM:4.3616,CELA2B:3.1931,TNNI3K:3.2502,RNFT1:3.1106,PLCE1:3.1007,PCP4:3.325,CRIM1:3.3729,BFAR:3.1653,ERGIC2:3.9023,BPIFA1:3.3491,ARL17B:3.7451,ARL17A:3.7451,PRR16:3.4621,DCDC2:3.1809,PDE9A:3.5712,NT5DC3:3.5666,MPC1:3.2608,NLK:3.1941,EMCN:4.4164,RSF1:3.3771,CDK14:3.1199,PGGT1B:3.535,PIK3C2G:3.1884,PLA2G5:3.1405,DCUN1D1:3.3518,PLEKHA5:4.0118,SHLD2:3.1107,SDK2:3.3935,RBFOX1:3.2952,IL17RD:3.2116,DYM:3.2483,QPCTL:3.1815,ZCCHC10:3.1455,BCAS3:3.2589,ST7L:3.1988,TASOR2:3.1105,PPL:3.5604,LPCAT2:3.3387,PPP1CB:3.1254,ENOX1:3.4894,TMEM248:3.2286,PPP2R2C:3.4266,RAVER2:3.4126,SMU1:3.206,ADI1:3.8515,TMEM143:3.1237,PGM2:3.2732,PPP3CB:3.3022,AGPAT5:3.2246,STK32B:3.3107,DHTKD1:4.0069,STAB2:4.9083,KIF16B:3.3535,PRR5:3.3809,ZNF407:3.2065,YEATS2:3.1849,FRMD4A:3.0958,FAR2:3.7335,HHAT:4.057,DHX32:3.2165,INAVA:3.1257,PRKCA:3.665,PRKCB:3.5872,PRKCE:3.5722,DOK5:3.1494,PPP2R2D:3.1854,MAPK10:3.1853,SLC2A9:3.5818,AGPAT3:3.1486,PRTFDC1:3.7193,FAM20C:3.7148,SLC12A9:3.5218,CIAPIN1:3.197,PLSCR4:3.3958,PHTF2:3.1219,PELI2:4.0708,SLC4A10:3.4099,SLC12A5:3.1558,PTK2:3.619,GRAMD1B:3.6503,COG6:3.8631,MICAL3:3.8848,GRAMD1A:3.3313,NCOA5:3.2293,PTPN3:3.5654,SCUBE2:3.1284,RBAK:3.2001,CCAR2:3.194,PTPRD:3.2055,PTPRG:3.1294,PLEKHB1:3.3628,KDM5A:3.4185,RBL1:3.175,TRIM27:3.1523,RFX2:3.3708,RGS7:3.4678,SLC5A7:3.4424,LDAH:3.3973,ROBO2:4.3108,RPA1:4.9007,RPE65:3.6776,RPL3L:3.2471,RPS6KA2:3.4196,RYR3:3.8754,SALL2:4.1511,SCN5A:3.1533,ANO3:5.3181,:4.4145,BLK:4.4145,PDLIM2:4.1467,ABCG8:3.4786,TMEM232:3.6149,HS1BP3:3.7673,CHST8:4.5718,SUSD1:3.1022,CSMD1:6.5327,COPS7B:3.5484,PCDH15:3.1239,BMP5:3.5489,RGPD3:3.1042,SLC8A1:3.2394,BMPR1B:4.698,BMPR2:3.1092,MTMR9:3.0946,BNIP1:3.1733,SNCG:3.1854,SNRPC:3.3207,SOX5:3.1609,DST:3.9321,SPOCK1:3.4134,SPTBN1:4.6329,ST14:3.3597,TIAM1:3.6585,TJP1:4.1004,TNR:3.1636,TOP2B:3.4115,TXK:3.1058,UMAD1:3.5154,SUMO1:3.1547,COL14A1:3.2025,VAV2:3.1012,LDLRAD4:4.7976,ZNF26:3.387,RELL1:3.1794,CACNA1B:3.3984,SLMAP:3.1494,TRPM8:3.9999,ALG12:3.4418,SPAG16:5.0631,CARS2:3.3175,OGFRL1:3.1007,TMEM204:3.21,TBL1XR1:3.2849,MCTP1:3.1918,SUGCT:3.1213,CARF:3.1806,MMRN2:3.2912,CAMKMT:3.6735,ZNF672:3.2669,PCNX2:3.1702,DCAF17:3.7931,CCDC170:3.0983,NUP214:3.5384,CUBN:3.091,ARHGAP39:3.6341,SH3BP5L:3.6612,ST8SIA2:3.1152,COL21A1:4.3637,SLC14A2:3.1112,CAPZA1:3.2888,GSG1:3.599,AIF1L:3.3902,AKR1E2:3.3178,TRAPPC9:3.6175,SNX25:3.686,IMMP2L:3.7181,FAM172A:3.2664,ANTXR1:3.1737,MEGF10:3.1137,FBN3:3.7519,CASR:3.3894,MYO18B:3.2217,BUD13:3.1817,AGBL4:3.9019,RNFT2:3.2034,PPFIA4:3.1659,DISP1:3.1237,ARHGAP19:3.2819,GAS7:3.2908,MYLK2:3.1291,KMO:3.2256,TMEFF1:3.2093,RUNX1T1:3.2105,:3.7428,PDE8B:3.7428,TP63:4.2341,AKR1C3:4.4341,NOL4:3.2626,MPDZ:3.2826,ZPR1:3.4706,PLCZ1:3.3176,TRPA1:3.3409,PHLDB2:3.2072,KCNH7:3.153,GPRC5A:3.5128,MCU:3.4223,LDB2:3.851,CABLES1:3.2302,DCLK1:3.1468,SNX29:3.1393,LGI1:3.4756,:4.1703,DLGAP2:4.1703,DLGAP1:5.3422,CYTH1:3.2637,PRDM6:3.1769,TRMT10A:3.7629,PPIG:3.4925,QKI:3.383,ITM2B:3.315,ATG5:3.1865,PTGES:3.0923,CDC42BPB:3.2967,CREB5:3.122,MICAL2:4.4293,NOS1AP:4.6522,IFT140:3.21,MAGI2:3.2814,AREL1:3.1884,LRRC37A:3.2306,RHOBTB1:4.5989,ZBED4:3.1918,TECPR2:3.184,ARHGAP44:3.1112,ARNT2:3.2198,KBTBD11:3.4541,HS3ST4:3.7869,HS3ST3A1:3.2557
