"","label","nodeClass","LDAupper","LDAmean","LDAlower","Sign_group","pvalue","fdr"
"6553","OTU_9880","OTU",NA,NA,NA,NA,0.545780800909876,0.775750764555047
"6554","OTU_12470","OTU",NA,NA,NA,NA,0.0594092707767379,0.602015835645445
"6555","OTU_15242","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6556","OTU_7068","OTU",NA,NA,NA,NA,0.0918785502448968,0.621317957838504
"6557","OTU_3796","OTU",NA,NA,NA,NA,0.887062849794156,0.939871136370554
"6558","OTU_101","OTU",NA,NA,NA,NA,0.358117839140721,0.621317957838504
"6559","OTU_275","OTU",NA,NA,NA,NA,0.536363290908887,0.775126027842199
"6560","OTU_351","OTU",NA,NA,NA,NA,0.1964542835572,0.621317957838504
"6561","OTU_505","OTU",NA,NA,NA,NA,0.844738534863777,0.939871136370554
"6562","OTU_1824","OTU",NA,NA,NA,NA,0.00344092921578002,0.11543469402586
"6563","OTU_3086","OTU",NA,NA,NA,NA,0.890593820917177,0.939871136370554
"6564","OTU_3230","OTU",NA,NA,NA,NA,0.0979642635193088,0.621317957838504
"6565","OTU_3469","OTU",NA,NA,NA,NA,0.842806613838164,0.939871136370554
"6566","OTU_3626","OTU",NA,NA,NA,NA,0.425195702157725,0.681249819609472
"6567","OTU_4178","OTU",NA,NA,NA,NA,0.204818937096679,0.621317957838504
"6568","OTU_4504","OTU",NA,NA,NA,NA,0.0762225296515425,0.621317957838504
"6569","OTU_5600","OTU",NA,NA,NA,NA,0.174401584256245,0.621317957838504
"6570","OTU_5768","OTU",NA,NA,NA,NA,0.702537405036102,0.885432766083532
"6571","OTU_6289","OTU",NA,NA,NA,NA,0.700606627523083,0.88417665949655
"6572","OTU_6953","OTU",NA,NA,NA,NA,0.0199908293616011,0.371412138290236
"6573","OTU_8617","OTU",NA,NA,NA,NA,0.835367121435381,0.939871136370554
"6574","OTU_10922","OTU",NA,NA,NA,NA,0.86557660679011,0.939871136370554
"6575","OTU_11569","OTU",NA,NA,NA,NA,0.403956809778196,0.656844105066831
"6576","OTU_19","OTU",NA,NA,NA,NA,0.251228095084199,0.621317957838504
"6577","OTU_87","OTU",NA,NA,NA,NA,0.195234845456833,0.621317957838504
"6578","OTU_114","OTU",NA,NA,NA,NA,0.0946709111152823,0.621317957838504
"6579","OTU_284","OTU",NA,NA,NA,NA,0.0647976199774143,0.602015835645445
"6580","OTU_395","OTU",NA,NA,NA,NA,0.036876740125491,0.505529700065633
"6581","OTU_491","OTU",NA,NA,NA,NA,0.658943588572024,0.850495115245054
"6582","OTU_536","OTU",NA,NA,NA,NA,0.00793110024626501,0.209027821843125
"6583","OTU_718","OTU",NA,NA,NA,NA,0.460824688819874,0.709367404590521
"6584","OTU_757","OTU",NA,NA,NA,NA,0.712951785806772,0.891661048643251
"6585","OTU_814","OTU",NA,NA,NA,NA,0.351766687009724,0.621317957838504
"6586","OTU_1333","OTU",NA,NA,NA,NA,0.649130566295843,0.850495115245054
"6587","OTU_1346","OTU",NA,NA,NA,NA,0.510406594731853,0.760481481164709
"6588","OTU_1415","OTU",NA,NA,NA,NA,0.751251135813019,0.923899061134278
"6589","OTU_1473","OTU",NA,NA,NA,NA,0.0467048798105305,0.562554668008634
"6590","OTU_1491","OTU",NA,NA,NA,NA,0.479982993362164,0.72478611130169
"6591","OTU_1861","OTU",NA,NA,NA,NA,0.0928262304815541,0.621317957838504
"6592","OTU_1902","OTU",NA,NA,NA,NA,0.55306634303741,0.778482649430736
"6593","OTU_2195","OTU",NA,NA,NA,NA,0.301905853063092,0.621317957838504
"6594","OTU_2214","OTU",NA,NA,NA,NA,0.00803546702515573,0.211194240226679
"6595","OTU_2244","OTU",NA,NA,NA,NA,0.55874293654758,0.778482649430736
"6596","OTU_2415","OTU",NA,NA,NA,NA,0.0879418226121836,0.621317957838504
"6597","OTU_2462","OTU",NA,NA,NA,NA,0.754434703173327,0.925520631576056
"6598","OTU_2865","OTU",NA,NA,NA,NA,0.448941106652444,0.709367404590521
"6599","OTU_3008","OTU",NA,NA,NA,NA,0.838639085194492,0.939871136370554
"6600","OTU_3061","OTU",NA,NA,NA,NA,0.181668056285907,0.621317957838504
"6601","OTU_3137","OTU",NA,NA,NA,NA,0.00818030861600635,0.213497274605375
"6602","OTU_3260","OTU",NA,NA,NA,NA,0.258194990792378,0.621317957838504
"6603","OTU_3317","OTU",NA,NA,NA,NA,0.788780443954951,0.939871136370554
"6604","OTU_3325","OTU",NA,NA,NA,NA,0.417968399752623,0.671533546145551
"6605","OTU_3351","OTU",NA,NA,NA,NA,0.20437831365542,0.621317957838504
"6606","OTU_3556","OTU",NA,NA,NA,NA,0.246670006831642,0.621317957838504
"6607","OTU_3585","OTU",NA,NA,NA,NA,0.0639446692183346,0.602015835645445
"6608","OTU_3678","OTU",NA,NA,NA,NA,0.390986599714389,0.656583207681121
"6609","OTU_3914","OTU",NA,NA,NA,NA,0.776047128138728,0.939871136370554
"6610","OTU_3955","OTU",NA,NA,NA,NA,0.104128306969375,0.621317957838504
"6611","OTU_4072","OTU",NA,NA,NA,NA,0.753032121019882,0.924820348021314
"6612","OTU_4196","OTU",NA,NA,NA,NA,0.0714033614382455,0.621317957838504
"6613","OTU_4285","OTU",NA,NA,NA,NA,0.187865226037196,0.621317957838504
"6614","OTU_4365","OTU",NA,NA,NA,NA,0.341051169735683,0.621317957838504
"6615","OTU_4517","OTU",NA,NA,NA,NA,0.300977884627389,0.621317957838504
"6616","OTU_4609","OTU",NA,NA,NA,NA,0.102684799658781,0.621317957838504
"6617","OTU_4680","OTU",NA,NA,NA,NA,0.101106460547569,0.621317957838504
"6618","OTU_4687","OTU",NA,NA,NA,NA,0.0072416099622989,0.19719380217157
"6619","OTU_4765","OTU",NA,NA,NA,NA,0.533256853460005,0.773362458534166
"6620","OTU_4921","OTU",NA,NA,NA,NA,0.665061999045931,0.850495115245054
"6621","OTU_5145","OTU",NA,NA,NA,NA,0.723696831808251,0.900015868039826
"6622","OTU_5279","OTU",NA,NA,NA,NA,0.000108069454291195,0.00795082413713792
"6623","OTU_5314","OTU",NA,NA,NA,NA,0.774168527693193,0.939797489446627
"6624","OTU_5707","OTU",NA,NA,NA,NA,0.366244446577669,0.625985708764711
"6625","OTU_5890","OTU",NA,NA,NA,NA,0.595743524668246,0.816576301514085
"6626","OTU_5892","OTU",NA,NA,NA,NA,0.304344661734298,0.621317957838504
"6627","OTU_6249","OTU",NA,NA,NA,NA,0.158425304944423,0.621317957838504
"6628","OTU_6373","OTU",NA,NA,NA,NA,0.67647612878029,0.861014804215378
"6629","OTU_6488","OTU",NA,NA,NA,NA,0.64360663966505,0.850495115245054
"6630","OTU_6528","OTU",NA,NA,NA,NA,0.943777959301172,0.962729753752823
"6631","OTU_6542","OTU",NA,NA,NA,NA,0.0444899252498429,0.544830029328893
"6632","OTU_6735","OTU",NA,NA,NA,NA,0.698778072130775,0.882241705274303
"6633","OTU_6855","OTU",NA,NA,NA,NA,0.111389498613324,0.621317957838504
"6634","OTU_6865","OTU",NA,NA,NA,NA,0.559371828790665,0.778482649430736
"6635","OTU_6936","OTU",NA,NA,NA,NA,0.449798772001396,0.709367404590521
"6636","OTU_7001","OTU",NA,NA,NA,NA,0.666232462567379,0.850875306583205
"6637","OTU_7012","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6638","OTU_7105","OTU",NA,NA,NA,NA,0.237357060317359,0.621317957838504
"6639","OTU_7146","OTU",NA,NA,NA,NA,0.240741711484294,0.621317957838504
"6640","OTU_7248","OTU",NA,NA,NA,NA,0.432787261524748,0.69149432067366
"6641","OTU_7448","OTU",NA,NA,NA,NA,0.70321368923506,0.885752468907069
"6642","OTU_7466","OTU",NA,NA,NA,NA,0.546535734533359,0.775750764555047
"6643","OTU_7677","OTU",NA,NA,NA,NA,0.0163399046890833,0.327055550263112
"6644","OTU_7714","OTU",NA,NA,NA,NA,0.360409322265045,0.621317957838504
"6645","OTU_7721","OTU",NA,NA,NA,NA,0.880138291081761,0.939871136370554
"6646","OTU_7745","OTU",NA,NA,NA,NA,0.0297412283850147,0.449248278183645
"6647","OTU_7777","OTU",NA,NA,NA,NA,0.393062947984816,0.656844105066831
"6648","OTU_7997","OTU",NA,NA,NA,NA,0.384610881185068,0.648964875673556
"6649","OTU_8159","OTU",NA,NA,NA,NA,0.540250389623054,0.775126027842199
"6650","OTU_8370","OTU",NA,NA,NA,NA,0.978554803914568,0.986142002662352
"6651","OTU_8781","OTU",NA,NA,NA,NA,0.0942010520942292,0.621317957838504
"6652","OTU_8918","OTU",NA,NA,NA,NA,0.788849321281522,0.939871136370554
"6653","OTU_8950","OTU",NA,NA,NA,NA,0.665376883874238,0.850495115245054
"6654","OTU_9521","OTU",NA,NA,NA,NA,0.936149239521409,0.958379829102265
"6655","OTU_9833","OTU",NA,NA,NA,NA,0.45308213918636,0.709367404590521
"6656","OTU_9946","OTU",NA,NA,NA,NA,0.240741711484294,0.621317957838504
"6657","OTU_10034","OTU",NA,NA,NA,NA,0.86557660679011,0.939871136370554
"6658","OTU_10303","OTU",NA,NA,NA,NA,0.279827875701028,0.621317957838504
"6659","OTU_11009","OTU",NA,NA,NA,NA,0.904739443744655,0.939871136370554
"6660","OTU_11095","OTU",NA,NA,NA,NA,0.865871846140884,0.939871136370554
"6661","OTU_11421","OTU",NA,NA,NA,NA,0.546158136701609,0.775750764555047
"6662","OTU_11860","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6663","OTU_12110","OTU",NA,NA,NA,NA,0.00765871649503775,0.203538276289654
"6664","OTU_12355","OTU",NA,NA,NA,NA,0.665061999045931,0.850495115245054
"6665","OTU_12357","OTU",NA,NA,NA,NA,0.86557660679011,0.939871136370554
"6666","OTU_12517","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6667","OTU_12566","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6668","OTU_12747","OTU",NA,NA,NA,NA,0.403956809778196,0.656844105066831
"6669","OTU_12980","OTU",NA,NA,NA,NA,0.540250389623054,0.775126027842199
"6670","OTU_13686","OTU",NA,NA,NA,NA,0.111389498613324,0.621317957838504
"6671","OTU_13861","OTU",NA,NA,NA,NA,0.523305817971876,0.764335312137878
"6672","OTU_13958","OTU",NA,NA,NA,NA,0.358117839140721,0.621317957838504
"6673","OTU_14052","OTU",NA,NA,NA,NA,0.467772145743268,0.709367404590521
"6674","OTU_14401","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6675","OTU_14701","OTU",NA,NA,NA,NA,0.358117839140721,0.621317957838504
"6676","OTU_16068","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6677","OTU_16094","OTU",NA,NA,NA,NA,0.358117839140721,0.621317957838504
"6678","OTU_4462","OTU",NA,NA,NA,NA,0.654148920059821,0.850495115245054
"6679","OTU_1284","OTU",NA,NA,NA,NA,0.145958797596747,0.621317957838504
"6680","OTU_827","OTU",NA,NA,NA,NA,0.193695732834737,0.621317957838504
"6681","OTU_6994","OTU",NA,NA,NA,NA,0.548511006852546,0.777091244280689
"6682","OTU_16","OTU",NA,NA,NA,NA,0.226496299226047,0.621317957838504
"6683","OTU_33","OTU",NA,NA,NA,NA,0.166659762631669,0.621317957838504
"6684","OTU_56","OTU",NA,NA,NA,NA,0.18892356452436,0.621317957838504
"6685","OTU_64","OTU",NA,NA,NA,NA,0.260241374892772,0.621317957838504
"6686","OTU_88","OTU",NA,NA,NA,NA,0.0999393897783264,0.621317957838504
"6687","OTU_90","OTU",NA,NA,NA,NA,0.367985054651984,0.627468028312622
"6688","OTU_107","OTU",NA,NA,NA,NA,0.21779254829667,0.621317957838504
"6689","OTU_174","OTU",NA,NA,NA,NA,0.730058643319205,0.905482217234622
"6690","OTU_179","OTU",NA,NA,NA,NA,0.123911374337016,0.621317957838504
