"WASH7P"
"AL627309.1"
"AL627309.6"
"AL627309.5"
"WASH9P"
"AP006222.1"
"AL732372.2"
"AL669831.3"
"MTND1P23"
"MTND2P28"
"MTCO1P12"
"MTCO2P12"
"MTATP6P1"
"MTCO3P12"
"AL669831.1"
"LINC01409"
"AL669831.4"
"LINC01128"
"LINC00115"
"NOC2L"
"KLHL17"
"PLEKHN1"
"HES4"
"ISG15"
"AGRN"
"C1orf159"
"TNFRSF18"
"TNFRSF4"
"SDF4"
"B3GALT6"
"UBE2J2"
"ACAP3"
"PUSL1"
"INTS11"
"CPTP"
"DVL1"
"AURKAIP1"
"CCNL2"
"MRPL20-AS1"
"MRPL20"
"ATAD3C"
"ATAD3B"
"AL645728.2"
"ATAD3A"
"SSU72"
"AL645728.1"
"FNDC10"
"AL691432.2"
"MIB2"
"MMP23B"
"CDK11B"
"FO704657.1"
"SLC35E2B"
"MMP23A"
"CDK11A"
"AL031282.2"
"SLC35E2A"
"NADK"
"GNB1"
"PRKCZ"
"FAAP20"
"SKI"
"MORN1"
"RER1"
"PEX10"
"PLCH2"
"PANK4"
"AL139246.5"
"TNFRSF14-AS1"
"TNFRSF14"
"AL139246.3"
"PRXL2B"
"MMEL1"
"MEGF6"
"AL513320.1"
"TPRG1L"
"WRAP73"
"TP73"
"TP73-AS1"
"SMIM1"
"LRRC47"
"CEP104"
"DFFB"
"C1orf174"
"LINC01134"
"NPHP4"
"KCNAB2"
"RPL22"
"RNF207"
"ICMT"
"GPR153"
"ACOT7"
"AL031848.2"
"TNFRSF25"
"NOL9"
"ZBTB48"
"KLHL21"
"PHF13"
"THAP3"
"DNAJC11"
"CAMTA1-DT"
"CAMTA1"
"VAMP3"
"PER3"
"Z98884.1"
"UTS2"
"TNFRSF9"
"PARK7"
"AL034417.5"
"ERRFI1"
"RERE"
"RERE-AS1"
"ENO1"
"SLC2A5"
"GPR157"
"H6PD"
"SPSB1"
"SLC25A33"
"TMEM201"
"PIK3CD"
"PIK3CD-AS1"
"PIK3CD-AS2"
"CLSTN1"
"CTNNBIP1"
"LZIC"
"AL357140.2"
"NMNAT1"
"RBP7"
"UBE4B"
"KIF1B"
"PGD"
"CENPS-CORT"
"CENPS"
"DFFA"
"PEX14"
"CASZ1"
"TARDBP"
"AL109811.3"
"AL109811.2"
"SRM"
"EXOSC10"
"MTOR"
"UBIAD1"
"FBXO2"
"FBXO44"
"FBXO6"
"MAD2L2"
"DRAXIN"
"AGTRAP"
"C1orf167"
"MTHFR"
"CLCN6"
"AL021155.5"
"KIAA2013"
"PLOD1"
"MFN2"
"MIIP"
"TNFRSF8"
"TNFRSF1B"
"VPS13D"
"DHRS3"
"PRDM2"
"KAZN"
"TMEM51"
"FHAD1"
"AL031283.1"
"EFHD2"
"CASP9"
"DNAJC16"
"AGMAT"
"CHCHD2P6"
"DDI2"
"PLEKHM2"
"SLC25A34"
"UQCRHL"
"AL450998.1"
"AL450998.2"
"SPEN"
"ZBTB17"
"ARHGEF19"
"AL109627.1"
"CPLANE2"
"FBXO42"
"SZRD1"
"NECAP2"
"LINC01772"
"CROCCP3"
"NBPF1"
"CROCCP2"
"AL021920.2"
"EIF1AXP1"
"CROCC"
"BX284668.5"
"BX284668.6"
"ATP13A2"
"SDHB"
"PADI2"
"PADI4"
"RCC2"
"ARHGEF10L"
"ALDH4A1"
"IFFO2"
"AL137127.1"
"UBR4"
"EMC1-AS1"
"EMC1"
"MRTO4"
"AKR7A2"
"SLC66A1"
"CAPZB"
"MICOS10"
"AL031727.1"
"TMCO4"
"OTUD3"
"CAMK2N1"
"MUL1"
"CDA"
"PINK1"
"PINK1-AS"
"DDOST"
"HP1BP3"
"EIF4G3"
"ECE1"
"ECE1-AS1"
"NBPF2P"
"NBPF3"
"ALPL"
"USP48"
"HSPG2"
"LINC01635"
"LINC00339"
"CDC42"
"CDC42-AS1"
"ZBTB40"
"C1QA"
"C1QB"
"EPHB2"
"KDM1A"
"AL031428.1"
"LUZP1"
"LINC01355"
"HNRNPR"
"ZNF436"
"ZNF436-AS1"
"TCEA3"
"E2F2"
"ID3"
"MDS2"
"RPL11"
"ELOA-AS1"
"ELOA"
"PITHD1"
"LYPLA2"
"GALE"
"HMGCL"
"FUCA1"
"CNR2"
"PNRC2"
"SRSF10"
"IFNLR1"
"STPG1"
"NIPAL3"
"RCAN3AS"
"RCAN3"
"SRRM1"
"CLIC4"
"RUNX3"
"SYF2"
"AL031432.4"
"RSRP1"
"TMEM50A"
"MACO1"
"LDLRAP1"
"MAN1C1"
"SELENON"
"AL020996.2"
"MTFR1L"
"PAQR7"
"STMN1"
"PAFAH2"
"PDIK1L"
"ZNF593"
"CNKSR1"
"CEP85"
"SH3BGRL3"
"UBXN11"
"CD52"
"ZNF683"
"DHDDS"
"DHDDS-AS1"
"HMGN2"
"RPS6KA1"
"ARID1A"
"PIGV"
"ZDHHC18"
"GPN2"
"GPATCH3"
"NUDC"
"TRNP1"
"SLC9A1"
"NPM1P39"
"WDTC1"
"TMEM222"
"SYTL1"
"MAP3K6"
"WASF2"
"BX293535.1"
"AHDC1"
"FGR"
"AL031729.1"
"IFI6"
"FAM76A"
"STX12"
"AL020997.2"
"PPP1R8"
"THEMIS2"
"RPA2"
"SMPDL3B"
