species,pathway,cor,p_value,celltype
Bacteroides_BPS,AMIT_EGF_RESPONSE_120_MCF10A,-0.0156053432749413,0.00603393308163962,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_20_HELA,0.0154641187466297,0.00650692742997952,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_20_MCF10A,-0.0252028819766087,9.20045775994441e-06,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_240_HELA,0.00447549709235192,0.431007429022283,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_240_MCF10A,0.0035323320938473,0.534259677559555,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_40_HELA,0.0331971583454956,5.1373970435144e-09,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_40_MCF10A,0.0203166234980701,0.00035011480270157,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_480_HELA,0.011172771315531,0.049308596113798,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_480_MCF10A,-0.00453591310982734,0.424812882938146,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_60_HELA,0.031690526860092,2.44199375694484e-08,classical Monocyte
Bacteroides_BPS,AMIT_EGF_RESPONSE_60_MCF10A,-0.0102209781069762,0.0721087495220726,classical Monocyte
Bacteroides_BPS,AMIT_SERUM_RESPONSE_120_MCF10A,-0.00115508550119278,0.838949261586575,classical Monocyte
Bacteroides_BPS,AMIT_SERUM_RESPONSE_20_MCF10A,0.00411928392839676,0.468579507386132,classical Monocyte
Bacteroides_BPS,AMIT_SERUM_RESPONSE_240_MCF10A,0.00804722279674283,0.156794827811141,classical Monocyte
Bacteroides_BPS,AMIT_SERUM_RESPONSE_40_MCF10A,0.0274720809150634,1.33391735344636e-06,classical Monocyte
Bacteroides_BPS,AMIT_SERUM_RESPONSE_480_MCF10A,-0.0362229177371004,1.8233777689951e-10,classical Monocyte
Bacteroides_BPS,AMIT_SERUM_RESPONSE_60_MCF10A,-0.0172666737575691,0.0023791499048034,classical Monocyte
Bacteroides_BPS,AMUNDSON_DNA_DAMAGE_RESPONSE_TP53,0.0330119939904634,6.2453092553398e-09,classical Monocyte
Bacteroides_BPS,AMUNDSON_RESPONSE_TO_ARSENITE,0.096026604959214,2.48133265232016e-64,classical Monocyte
