species,pathway,cor,p_value,celltype
Butyricimonas,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,-0.0808620050842524,1.09244119246878e-05,Intermediate monocytes
Butyricimonas,KEGG_ERBB_SIGNALING_PATHWAY,0.0668593050666846,0.000278483949205126,Intermediate monocytes
Butyricimonas,KEGG_ETHER_LIPID_METABOLISM,0.0402606005042437,0.0287395290873139,Intermediate monocytes
Butyricimonas,KEGG_FATTY_ACID_METABOLISM,0.00883481792258992,0.631411718202402,Intermediate monocytes
Butyricimonas,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.0548995154022223,0.00285159557229007,Intermediate monocytes
Butyricimonas,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.014407613047423,0.433994030343958,Intermediate monocytes
Butyricimonas,KEGG_FOCAL_ADHESION,0.0277034022776459,0.132430531734835,Intermediate monocytes
Butyricimonas,KEGG_FOLATE_BIOSYNTHESIS,0.0324777857675016,0.0777299420917185,Intermediate monocytes
Butyricimonas,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,-0.0410475635581503,0.0257589803033985,Intermediate monocytes
Butyricimonas,KEGG_GALACTOSE_METABOLISM,0.00916380041014028,0.618762015824244,Intermediate monocytes
Butyricimonas,KEGG_GAP_JUNCTION,0.00740233605327974,0.687718587795873,Intermediate monocytes
Butyricimonas,KEGG_GLIOMA,0.0744443576738223,5.16674830387706e-05,Intermediate monocytes
Butyricimonas,KEGG_GLUTATHIONE_METABOLISM,-0.131633361475636,7.02430231546308e-13,Intermediate monocytes
Butyricimonas,KEGG_GLYCEROLIPID_METABOLISM,-0.00784477589257283,0.670123432102215,Intermediate monocytes
Butyricimonas,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.0333920024819234,0.069724759919842,Intermediate monocytes
Butyricimonas,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.052026338323708,0.00469937378222911,Intermediate monocytes
Butyricimonas,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,-0.0873652066481566,2.00391674338123e-06,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.0766890177081543,3.04114609835088e-05,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.0526166242007349,0.00424887621162625,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.0445044639630075,0.0156148953960522,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,-0.00604839349574989,0.74258555765252,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,-0.0194332930232441,0.291274763920103,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,-0.0410232637240019,0.0258468520818439,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.0383515097016478,0.0372278124244033,Intermediate monocytes
Butyricimonas,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.0379476837460562,0.039273936917955,Intermediate monocytes
