species,pathway,cor,pvalue,celltype
Butyricimonas,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,-0.0552895806354576,2.49449251866328e-06,Non-classical monocytes
Butyricimonas,KEGG_ERBB_SIGNALING_PATHWAY,0.0878323563443525,6.95346705234138e-14,Non-classical monocytes
Butyricimonas,KEGG_ETHER_LIPID_METABOLISM,0.049897414090803,2.1495037164367e-05,Non-classical monocytes
Butyricimonas,KEGG_FATTY_ACID_METABOLISM,0.0189682140478053,0.106465969600819,Non-classical monocytes
Butyricimonas,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.0538904626593401,4.44837649031035e-06,Non-classical monocytes
Butyricimonas,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.0211185973796052,0.0722832803693825,Non-classical monocytes
Butyricimonas,KEGG_FOCAL_ADHESION,0.0224186300133116,0.0563914729857445,Non-classical monocytes
Butyricimonas,KEGG_FOLATE_BIOSYNTHESIS,0.00533957198835163,0.649551879567748,Non-classical monocytes
Butyricimonas,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,-0.0359090270055675,0.00223760984409368,Non-classical monocytes
Butyricimonas,KEGG_GALACTOSE_METABOLISM,0.00303122076630328,0.796446733014522,Non-classical monocytes
Butyricimonas,KEGG_GAP_JUNCTION,-0.00449175700643898,0.702285587035334,Non-classical monocytes
Butyricimonas,KEGG_GLIOMA,0.0248814719373687,0.0342033198119998,Non-classical monocytes
Butyricimonas,KEGG_GLUTATHIONE_METABOLISM,-0.0725437312757963,6.35358761258477e-10,Non-classical monocytes
Butyricimonas,KEGG_GLYCEROLIPID_METABOLISM,0.04544297782411,0.000109255783739709,Non-classical monocytes
Butyricimonas,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.0549227883224363,2.90683731077403e-06,Non-classical monocytes
Butyricimonas,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.0229886489103532,0.0504034961579374,Non-classical monocytes
Butyricimonas,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,-0.0844347464377301,6.11021945994378e-13,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.0463069547682319,8.05700649819266e-05,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.0517444698150028,1.05175036406229e-05,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.0218442318702781,0.0630128961422361,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.0489886939867039,3.02872774913298e-05,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.0327633924584232,0.00529012457332986,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.0184565565418645,0.116245043506004,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.0347289403780161,0.00311434394987745,Non-classical monocytes
Butyricimonas,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.0285198654276807,0.0152054318855762,Non-classical monocytes
Butyricimonas,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,-0.0060018278850547,0.609531608989856,Non-classical monocytes
Butyricimonas,KEGG_GNRH_SIGNALING_PATHWAY,0.0260719659511603,0.0264851358358661,Non-classical monocytes
Butyricimonas,KEGG_GRAFT_VERSUS_HOST_DISEASE,-0.0991118320223516,2.79222465230364e-17,Non-classical monocytes
Butyricimonas,KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.0149717583445184,0.202619765096294,Non-classical monocytes
Butyricimonas,KEGG_HEMATOPOIETIC_CELL_LINEAGE,-0.0113612372032484,0.33362480285983,Non-classical monocytes
Butyricimonas,KEGG_HISTIDINE_METABOLISM,0.0226449134289797,0.0539470627402693,Non-classical monocytes
